MsgID, DataID0, DataID1, DataID2, DataID3, DataID4, DataID5, DataID6, DataID7, DataID8, DataID9, DataID10, DataID11, DataID12, DataID13, DataID14, DataID15
381, 0xB2, 0x18, 0xB8, 0xA, 0xA4, 0xD0, 0xBA, 0x5A, 0xD4, 0x54, 0x1C, 0x95, 0xB1, 0xDE, 0xD6, 0xF
181, 0xC8, 0x83, 0x64, 0xF, 0xC7, 0xB7, 0x3F, 0x2D, 0x68, 0x57, 0x30x, 0x88, 0x1C, 0xF7, 0x5C, 0x1A
235, 0xA8, 0xA7, 0xD9, 0x50, 0xCE, 0x90, 0x28, 0x3F, 0x33, 0x3, 0xDE, 0xE1, 0x1E, 0x6B, 0x3A, 0xF1
3BA, 0xB3, 0x67, 0x98, 0xD4, 0x82, 0x34, 0x53, 0x72, 0xBE, 0xF0, 0xA1, 0x86, 0x4A, 0x64, 0x6D, 0xE1
2AD, 0x31, 0x1D, 0xFB, 0x39, 0xF6, 0x90, 0x34, 0xD3, 0x80, 0x97, 0x99, 0x2F, 0x5E, 0x86, 0x1C, 0xAB
2AC, 0xE4, 0xB4, 0xF5, 0x86, 0xC, 0x35, 0x13, 0xE9, 0x5C, 0xF3, 0x5B, 0x79, 0xE1, 0x43, 0xCF, 0xB0
3C3, 0x14, 0xAD, 0x59, 0x4D, 0x33, 0x89, 0x8, 0x34, 0xC, 0x1A, 0x96, 0x11, 0x61, 0x8C, 0xB5, 0xA
3C2, 0x5, 0xD9, 0x93, 0x90, 0x7C, 0x33, 0xB8, 0xE1, 0x70, 0x3A, 0xAC, 0x1A, 0xBF, 0xDF, 0x9A, 0xC6
3C5, 0x51, 0x52, 0x2B, 0x64, 0xB3, 0xED, 0x4F, 0x5D, 0x3F, 0x80, 0xD6, 0x7D, 0xF2, 0x30, 0x4B, 0x96
305, 0x6A, 0xB0, 0xCD, 0x4E, 0xE0, 0x16, 0x1C, 0x22, 0x71, 0x98, 0xD9, 0xDF, 0xFA, 0x76, 0xF8, 0x14
30B, 0x5B, 0xA8, 0x5, 0xA7, 0x4E, 0xD9, 0xD, 0x50, 0x93, 0xCE, 0x40, 0x90, 0xE, 0x28, 0x7C, 0x3F
30C, 0xD8, 0x8E, 0x56, 0x3A, 0x18, 0xCC, 0xC9, 0x53, 0x15, 0xA, 0x90, 0x8A, 0x3E, 0x7A, 0xD0, 0x64
50, 0xBC, 0xEB, 0xB1, 0x41, 0x29, 0xF5, 0x66, 0x56, 0xB0, 0xA2, 0xCA, 0xAD, 0x1, 0x7, 0xB3, 0xCC
201-214, 0x27, 0xDC, 0x8D, 0x50, 0xDD, 0x9, 0xD0, 0x6D, 0x39, 0x21, 0x16, 0xF2, 0x84, 0x95, 0x7, 0x69
215-21E, 0x27, 0xDC, 0x8D, 0x50, 0xDD, 0x9, 0xD0, 0x6D, 0x39, 0x21, 0x16, 0xF2, 0x84, 0x95, 0x7, 0x69
200, 0xF1, 0x87, 0x55, 0xDA, 0x9E, 0xAA, 0xB5, 0x32, 0x46, 0x7F, 0x2C, 0x3C, 0x7A, 0x1B, 0x26, 0xBB
21F, 0xD9, 0xC7, 0x9A, 0x57, 0xD7, 0x5C, 0x55, 0x20, 0x6, 0x74, 0x8C, 0x37, 0xCC, 0xAA, 0x6B, 0xF9
52, 0x38,0x4C, 0xA, 0xD9, 0x7D, 0x5A, 0x6C, 0xC7, 0x95, 0xC4, 0x51, 0x9A, 0x41, 0xCB, 0xC0, 0x57
30, 0x93, 0x77, 0xB5, 0x9F, 0xB6, 0x1B, 0x41, 0xE0, 0x81, 0x27, 0x78, 0xE8, 0x6B, 0x56, 0x8F, 0x98
120-12F, 0x1F, 0xB6, 0x19, 0x27, 0x9C, 0x8F, 0xA2, 0xDC, 0x31, 0xCF, 0x4A, 0x8D, 0xC2, 0xB8, 0x96, 0x50
14D, 0xE5, 0xBA, 0xC8, 0xDE, 0xA9, 0x83, 0xB, 0xC, 0x64, 0x79, 0x44, 0xF, 0xF6, 0xC6, 0xC7, 0x5
190-19F, 0x68, 0x29, 0xAF, 0xA2, 0xEF, 0xB3, 0x5B, 0xB8, 0xE0, 0x59, 0x7E, 0x67, 0x63, 0x23, 0x43, 0xD0
1C0-1CF, 0x68, 0x29, 0xAF, 0xA2, 0xEF, 0xB3, 0x5B, 0xB8, 0xE0, 0x59, 0x7E, 0x67, 0x63, 0x23, 0x43, 0xD0
14C, 0x6C, 0xCB, 0xC, 0x55, 0xEA, 0x5, 0x4B, 0xAA, 0x2D, 0x28, 0x9C, 0x46, 0xF4, 0x84, 0x1, 0x3C
170-17F, 0x1F, 0xB6, 0x19, 0x27, 0x9C, 0x8F, 0xA2, 0xDC, 0x31, 0xCF, 0x4A, 0x8D, 0xC2, 0xB8, 0x96, 0x50
